data,label,hard_neg
一架飞机要起飞了,一架飞机正在起飞,一架飞机空中飞行
一个人在拉大提琴,一个坐着的人正在拉大提琴,一个人拉小提琴
有些人在战斗,两个人在打架,人管理机构人信心
一个人正把一只猫扔到天花板上,一个人把一只猫扔在天花板上,一名妇女一只猫抛向空中猫天花板上一根棍子上吊
那人用棍子打了另一个人,那人用棍子打了另一个人一巴掌,那人用机器土豆切碎
一个人在叠一张纸,有人在叠一张纸,有人一张粉红色纸上划出一个圆圈
北极熊在雪地上滑行,一只北极熊在雪地上滑行,孩子雪中滑行
那人在骑马,一个人骑着马,那人弹钢琴
一只熊猫正从滑梯上滑下来,熊猫从滑梯上滑下来,熊猫宝宝木头上放松
女人剥土豆,一个女人在剥土豆,一个女人剥土豆
那男孩从自行车上摔了下来,一个男孩从自行车上摔了下来,秋千上荡秋千男孩
那个女人在吹长笛,一个女人在吹长笛,一个女人吹长笛
一只兔子在躲避一只老鹰,一只野兔正从一只老鹰身上跑出来,一只熊躲避两只狗
那个女人正在煎一块裹着面包皮的猪排,一位妇女正在做一块裹着面包屑的猪排,一个女人煎东西
一个女孩在放风筝,一个正在奔跑的女孩正在放风筝,一个女孩骑马
一个人骑着一头机械公牛,一个人骑着一头机械公牛,骑机械公牛人
那人在弹吉他,一个男人在弹吉他,那人弹吉他
一个男人正在往锅里倒油,一个男人正在往锅里倒油,一个男人往锅里加油
狗骑滑板,一只狗在滑板,滑板运动员溜冰公园里骑管壁上
女人剥虾,一个女人在剥虾,一个人剥虾
一个女人在煎鱼,一个女人在煮鱼,一个女人排球递给一个发球女人
一个人切洋葱,一个人在切洋葱,一个人在切洋葱
一个小男孩在玩键盘,一个男孩在玩键盘,一个男人玩键盘
狗舔婴儿,狗在舔婴儿,狗舔婴儿口水
一个人在打鼓,一个人在打鼓,人打鼓
一个女人骑着马,一个女人在骑马,一个人骑着马
一个男人在树边吃香蕉,一个男人正在吃香蕉,一个男人城市天际线前树边走过
一个人用斧头砍倒了一棵树,一个人用斧头砍树,一只猴子一棵树荡到一棵树
一只松鼠在转圈,一只松鼠绕着圈跑,一个人转圈
一男一女在接吻,一男一女接吻,一男一女接吻
一个人在切蘑菇,一个人正在用刀切蘑菇,一个男人用刀快速切蘑菇
一只潘克达正在吃竹子,熊猫正在吃竹子,一只狗正试图吃背上培根
一只猴子推另一只猴子,猴子推了另一只猴子,一只猴子床上走
一只松鼠绕着圈跑,一只松鼠在转圈,一只老鼠跑
一个男人正在系鞋带,一个男人系鞋带,一个男人背着一个男人
一只狗正在吃西瓜,一只狗正在吃一块西瓜,一只狗正试图吃背上培根
一位女士正在切西兰花,一位女士正在用刀切西兰花,一个女人切西兰花
一只小狗在追一个瑜伽球,一只狗在追一个球,一只小狗跳过障碍物
一个男人骑着摩托车走了,一个男人骑着摩托车,一男一女骑着摩托车
那人切了一个纸盘,一个男人在切纸盘,一个年轻人一个阳台跳到一个阳台
一个男人在键盘上玩,一个男人在弹键盘钢琴,一个男人玩键盘
这位女士切碎了青葱,这位女士切了一个洋葱,这位女士剥去虾皮
一个人在弹钢琴,一个人在弹钢琴,一个人弹钢琴
一个女人在吹长笛,一个女人吹长笛,一个女人吹长笛
一个女人在切洋葱,一个女人在切洋葱,一个女人切洋葱
一个人在弹吉他,一个人弹吉他,一个人弹吉他
一位妇女正在使用一台缝纫机,一个女人正在缝纫机上缝纫,一位妇女奶瓶婴儿
人们下了火车,人们在车站下了火车,火车进站
一只狗在蹦床上跳,狗在蹦床上跳,孩子蹦床上跳
一个男人在爬绳子,一个男人爬上一根绳子,一个男人爬绳子
一对男女开着吉普车沿着街道行驶,一男一女开着一辆敞篷车在路上行驶,一对男女雨中跳舞
两个女人在摔跤,两个女人在地板上摔跤,两个女人购物
小狗玩一个蓝色的网球,一只小狗在玩网球,两只小狗田野里玩一个红色咀嚼玩具
袋鼠在吃东西,袋鼠在吃东西,浣熊吃东西
那人用刀割破了一些地毯,一个男人正在用刀割地毯,那人用机器土豆切碎
一个男人切土豆,一个男人切土豆,一个男人切土豆
一个女人正在切大蒜,那个女人正在切蒜片,一个女人切大蒜
一个人在弹吉他,一个坐在房间里的人正在弹吉他,一个人弹吉他
一个人吹长笛,一个人在吹长笛,一个人吹长笛
